,DATETIME,LAT,LONG,DEPTH,MAGNITUDE
5000,10/31/1978 9:44,38.5,22.2,33,3.2
5001,11/1/1978 7:51,37.7,23.1,33,3.2
5002,11/3/1978 16:48,37.1,21.6,33,3.7
5003,11/3/1978 17:47,39.7,23.1,33,3.2
5004,11/4/1978 9:17,40.8,23.2,33,3.6
5005,11/5/1978 2:01,37.9,22.0,33,3.4
5006,11/6/1978 22:33,36.0,27.0,33,4.2
5007,11/13/1978 3:36,37.7,22.2,33,2.8
5008,11/13/1978 14:47,38.5,25.5,33,3.1
5009,11/15/1978 19:26,39.3,24.9,33,3.1
5010,11/17/1978 4:46,38.5,22.3,33,3.0
5011,11/19/1978 19:59,40.6,23.3,33,3.7
5012,11/21/1978 8:03,38.4,21.8,33,2.9
5013,11/21/1978 10:00,38.4,22.2,33,3.1
5014,11/22/1978 7:28,39.8,24.7,33,3.3
5015,11/23/1978 19:42,39.1,21.3,33,3.9
5016,11/24/1978 0:39,38.6,21.7,33,3.1
5017,11/25/1978 7:34,39.1,26.5,33,3.6
5018,11/25/1978 18:28,39.0,26.6,33,3.4
5019,11/26/1978 7:29,37.0,23.1,33,3.0
5020,11/28/1978 18:02,35.9,26.3,100,4.5
5021,11/29/1978 9:39,36.9,23.2,33,3.4
5022,12/3/1978 18:04,37.4,23.2,33,2.5
5023,12/4/1978 8:33,36.9,23.1,33,3.1
5024,12/10/1978 17:24,37.6,21.9,33,3.1
5025,12/12/1978 10:20,39.3,23.0,33,3.0
5026,12/12/1978 10:45,39.3,23.0,33,2.9
5027,12/12/1978 20:04,36.6,23.6,33,3.1
5028,12/14/1978 8:02,39.1,21.8,33,3.2
5029,12/15/1978 5:56,38.6,21.8,33,3.3
5030,12/16/1978 13:34,38.1,26.2,33,3.3
5031,12/26/1978 1:50,37.6,20.8,33,3.5
5032,12/26/1978 14:39,37.3,20.9,33,3.4
5033,12/29/1978 13:18,37.7,21.0,33,3.8
5034,12/30/1978 18:41,39.9,25.6,33,3.6
5035,12/31/1978 14:28,37.7,21.9,33,3.0
5036,1/1/1979 4:29,38.7,23.2,33,3.1
5037,1/1/1979 6:01,38.0,22.0,33,3.1
5038,1/1/1979 17:44,37.3,24.0,33,3.0
5039,1/4/1979 13:22,40.3,25.0,33,3.6
5040,1/4/1979 17:14,38.4,22.0,33,3.1
5041,1/5/1979 10:03,39.8,25.6,33,4.2
5042,1/6/1979 21:17,36.4,26.7,100,3.7
5043,1/7/1979 18:15,38.6,23.4,33,2.8
5044,1/7/1979 19:26,36.7,23.9,33,3.0
5045,1/8/1979 2:11,37.9,20.9,33,4.1
5046,1/9/1979 9:53,38.6,23.7,33,3.0
5047,1/10/1979 1:19,38.7,23.2,33,2.7
5048,1/10/1979 2:27,38.8,24.1,33,3.0
5049,1/10/1979 3:25,38.8,24.0,33,2.6
5050,1/10/1979 20:34,38.8,24.3,33,3.4
5051,1/10/1979 22:14,38.7,23.0,33,2.8
5052,1/13/1979 11:01,38.1,22.5,33,3.2
5053,1/14/1979 19:26,38.2,24.5,33,3.1
5054,1/15/1979 22:11,38.9,24.8,33,3.1
5055,1/16/1979 3:22,38.6,23.4,33,3.3
5056,1/16/1979 4:32,38.6,23.3,33,3.4
5057,1/16/1979 11:57,38.5,23.3,33,3.4
5058,1/16/1979 18:39,38.6,23.1,33,3.0
5059,1/21/1979 3:15,38.6,23.4,33,3.3
5060,1/21/1979 17:17,39.1,26.0,33,3.5
5061,1/22/1979 5:49,38.5,23.0,33,3.0
5062,1/22/1979 8:34,38.2,25.6,33,3.0
